STT,min_AccelX,max_AccelX,mean_AccelX,std_AccelX,frequency_AccelX,min_AccelY,max_AccelY,mean_AccelY,std_AccelY,frequency_AccelY,min_AccelZ,max_AccelZ,mean_AccelZ,std_AccelZ,frequency_AccelZ,min_GyroX,max_GyroX,mean_GyroX,std_GyroX,frequency_GyroX,min_GyroY,max_GyroY,mean_GyroY,std_GyroY,frequency_GyroY,min_GyroZ,max_GyroZ,mean_GyroZ,std_GyroZ,frequency_GyroZ
47,8.66,9.05,8.809149999999999,0.0820535038861839,198.0,0.67,0.96,0.83335,0.03934815751722054,2.0,5.05,5.69,5.472550000000001,0.12677143802923432,2.0,-0.14,-0.06,-0.1106,0.014478950238190614,2.0,-0.02,0.19,0.05395000000000001,0.03440781161306252,2.0,-0.03,0.01,-0.011600000000000001,0.006437390775772432,152.0
48,8.66,9.05,8.809249999999999,0.07994333930978868,2.0,0.62,0.94,0.8248500000000001,0.046216636614967985,2.0,5.06,5.72,5.4746999999999995,0.12303621418102884,2.0,-0.15,-0.05,-0.1117,0.015687893421361582,2.0,-0.01,0.14,0.05380000000000001,0.03145727260904861,2.0,-0.03,0.01,-0.011850000000000001,0.007076545767533762,15.0
49,8.67,9.05,8.79265,0.07205884747898755,2.0,0.68,0.96,0.82655,0.044312498236953414,2.0,5.1,5.77,5.502999999999999,0.1181058846967415,2.0,-0.15,-0.05,-0.11015000000000001,0.014747118362581892,2.0,-0.02,0.17,0.06000000000000002,0.03170173496829472,2.0,-0.03,0.01,-0.011699999999999999,0.006790434448545983,46.0
50,8.68,9.09,8.8231,0.08316483631920399,2.0,0.63,0.96,0.8077500000000001,0.04527071349117439,198.0,5.12,5.77,5.4522,0.13242416697869008,198.0,-0.14,-0.06,-0.1109,0.014669355814077181,2.0,-0.02,0.15,0.05630000000000001,0.03445736496019392,2.0,-0.03,0.01,-0.01205,0.007231701044705871,15.0
51,8.67,9.08,8.82255,0.09017758867922782,1.0,0.61,0.95,0.81325,0.04787418406615406,1.0,5.13,5.74,5.456849999999999,0.14241691437466267,199.0,-0.14,-0.06,-0.11215000000000003,0.013337072392395568,1.0,-0.02,0.14,0.054050000000000015,0.02769652505279318,199.0,-0.03,0.01,-0.01125,0.006398241946034864,7.0
52,8.69,9.07,8.8545,0.09195515211232057,1.0,0.64,0.93,0.79815,0.043898490862443094,1.0,5.09,5.75,5.39845,0.1495697078288247,1.0,-0.14,-0.07,-0.11160000000000002,0.013836184445142381,41.0,-0.02,0.19,0.05185000000000001,0.03394226716057724,3.0,-0.03,0.01,-0.01115,0.006416969689814657,15.0
53,8.69,9.06,8.81385,0.07984783967021275,1.0,0.61,0.95,0.81375,0.0446815118365527,199.0,5.05,5.69,5.46755,0.12627548257678523,199.0,-0.14,-0.06,-0.10980000000000001,0.013113351974228405,45.0,-0.01,0.16,0.06000000000000002,0.031000000000000003,2.0,-0.03,0.01,-0.01225,0.006666145812986691,45.0
54,8.71,9.03,8.85075,0.08005583988691892,1.0,0.65,0.91,0.7919499999999999,0.040295129978695936,198.0,5.07,5.69,5.409000000000001,0.1221310771261762,1.0,-0.16,-0.07,-0.11240000000000001,0.012893409169028956,7.0,-0.02,0.11,0.05255,0.027640504698720682,3.0,-0.02,0.01,-0.0104,0.004983974317750845,7.0
55,8.71,9.07,8.835899999999999,0.08442268652441712,199.0,0.62,0.92,0.7883,0.040038856127516925,1.0,5.06,5.68,5.433949999999999,0.1384337296326296,1.0,-0.13,-0.07,-0.11020000000000002,0.011745637488020816,158.0,-0.01,0.15,0.058350000000000006,0.030261815874134186,2.0,-0.02,0.01,-0.01165,0.006227158260394544,7.0
56,8.55,8.91,8.724400000000001,0.07285355173222503,2.0,0.86,1.18,1.0480999999999998,0.045446562026186334,2.0,5.28,5.76,5.57225,0.10659004409418361,198.0,-0.14,-0.08,-0.11320000000000002,0.012796874618437114,1.0,0.0,0.14,0.049550000000000004,0.024027016044444637,199.0,-0.03,-0.0,-0.0114,0.00678527818147495,25.0
